,original_title,genres,original_language,production_countries,production_companies,release_date,year,month,Day,budget,revenue,runtime,status,vote_average,vote_count,popularity
2339,The Fog(1980),Horror,en,United States of America,"AVCO Embassy Pictures,EDI,Debra Hill Productions",1980-02-08,1980,2,Friday,1000000,21378361,89.0,Released,6.4,311,14.518598
2340,Soul Surfer(2011),"Action,Drama",en,United States of America,"Mandalay Pictures,TriStar Pictures,Brookwell-McNamara Entertainment,FilmDistrict,Affirm Films",2011-04-08,2011,4,Friday,18000000,47088990,106.0,Released,6.9,342,19.234672
2341,Catch-22(1970),"War,Comedy,Drama",en,United States of America,"Paramount Pictures,Filmways Productions",1970-06-24,1970,6,Wednesday,18000000,24911670,121.0,Released,6.7,72,4.504377
2342,Observe and Report(2009),"Comedy,Crime,Drama",en,United States of America,"Legendary Pictures,De Line Pictures",2009-04-10,2009,4,Friday,0,24007324,86.0,Released,5.6,225,10.529143
2343,Conan the Destroyer(1984),"Adventure,Fantasy,Action",en,United States of America,De Laurentiis Entertainment Group,1984-06-29,1984,6,Friday,18000000,100000000,103.0,Released,5.8,383,18.379124
2344,Raging Bull(1980),Drama,en,United States of America,United Artists,1980-11-14,1980,11,Friday,18000000,23000000,129.0,Released,7.7,938,35.524457
2345,Love Happens(2009),"Drama,Romance",en,"Canada,United Kingdom,United States of America","Universal Pictures,Stuber Productions,Camp / Thompson Pictures,Relativity Media,Scion Films,Traveling Film Productions",2009-09-18,2009,9,Friday,18000000,36133014,109.0,Released,5.6,180,13.472365
2346,Young Sherlock Holmes(1985),"Action,Adventure,Crime,Drama,Family,Mystery,Thriller",en,United States of America,"Paramount Pictures,Amblin Entertainment",1985-12-04,1985,12,Wednesday,18000000,0,109.0,Released,6.7,167,8.321586
2347,Fame(2009),"Music,Comedy,Drama,Romance",en,United States of America,"United Artists,Lakeshore Entertainment,Metro-Goldwyn-Mayer (MGM)",2009-01-01,2009,1,Thursday,0,0,107.0,Released,5.5,135,7.668063
2348,127 Hours(2010),"Adventure,Drama,Thriller",en,"United Kingdom,United States of America","Fox Searchlight Pictures,Warner Bros.,Cloud Eight Films,Pathé,Film4,Everest Entertainment,HandMade Films",2010-11-05,2010,11,Friday,18000000,35692920,94.0,Released,7.0,2606,52.464877
2349,Small Time Crooks(2000),"Action,Comedy,Crime",en,United States of America,DreamWorks SKG,2000-05-19,2000,5,Friday,0,0,94.0,Released,6.4,155,11.423533
2350,Center Stage(2000),"Drama,Music",en,United States of America,Columbia Pictures,2000-05-12,2000,5,Friday,18000000,17200925,115.0,Released,6.8,90,6.961736
2351,Love the Coopers(2015),"Comedy,Family",en,United States of America,"Imagine Entertainment,Groundswell Productions,CBS Films",2015-11-12,2015,11,Thursday,17000000,24000000,107.0,Released,5.4,167,9.191187
2352,Catch That Kid(2004),"Family,Action,Adventure",en,United States of America,"Fox 2000 Pictures,Mad Chance,Nimbus Film Productions,Mediastream Dritte Film GmbH & Co. Beteiligungs KG,Splendid Productions",2004-02-06,2004,2,Friday,18000000,16702864,92.0,Released,4.9,76,4.492859
2353,Life as a House(2001),Drama,en,United States of America,New Line Cinema,2001-10-25,2001,10,Thursday,18000000,0,125.0,Released,7.2,120,5.706767
2354,Steve Jobs(2015),"Drama,History",en,United States of America,"Universal Pictures,Scott Rudin Productions,Legendary Pictures,The Mark Gordon Company,Management 360,Cloud Eight Films",2015-10-09,2015,10,Friday,30000000,34441873,122.0,Released,6.8,1573,53.670525
2355,"I Love You, Beth Cooper(2009)","Comedy,Romance",en,"Canada,United States of America","Ingenious Film Partners,1492 Pictures,Fox Atomic,Dune Entertainment III,Bece Canada Productions",2009-07-10,2009,7,Friday,18000000,0,102.0,Released,5.1,197,14.15192
2356,Youth in Revolt(2009),"Drama,Comedy,Romance",en,United States of America,Dimension Films,2009-09-11,2009,9,Friday,18000000,0,87.0,Released,5.9,319,13.462544
2357,The Legend of the Lone Ranger(1981),"Action,Adventure,Romance,Western",en,United States of America,ITC Entertainment,1981-08-20,1981,8,Thursday,18000000,2945600,98.0,Released,3.7,14,11.725805
2358,The Tailor of Panama(2001),"Drama,Thriller",en,"Ireland,United States of America","Columbia Pictures,Merlin Films",2001-02-11,2001,2,Sunday,21000000,28008462,109.0,Released,6.2,92,7.047975
2359,Blow Out(1981),"Drama,Mystery,Thriller",en,United States of America,Cinema 77,1981-07-24,1981,7,Friday,18000000,12000000,108.0,Released,7.3,236,13.628601
2360,Getaway(2013),"Action,Crime",en,"Bulgaria,United States of America","Dark Castle Entertainment,Signature Pictures,After Dark Films,Silver Reel,Saints LA,Bomar OOD,thefyzz,Dunulf Productions,Emmitt Productions Limited,ADF Acquisitions",2013-08-29,2013,8,Thursday,18000000,10501938,90.0,Released,4.9,246,16.520516
2361,The Ice Storm(1997),Drama,en,"France,United States of America","Fox Searchlight Pictures,Good Machine,Canal+ Droits Audiovisuels",1997-09-27,1997,9,Saturday,18000000,8038061,112.0,Released,6.9,176,14.916264
2362,And So It Goes(2014),"Comedy,Drama,Romance",en,United States of America,"Castle Rock Entertainment,Envision Entertainment,ASIG Productions",2014-07-20,2014,7,Sunday,18000000,25312387,94.0,Released,5.7,164,9.633711
2363,Troop Beverly Hills(1989),"Adventure,Comedy,Family",en,United States of America,"Columbia Pictures,Weintraub Entertainment Group",1989-03-22,1989,3,Wednesday,0,0,105.0,Released,5.6,56,3.455018
2364,Being Julia(2004),"Comedy,Drama,Romance",en,,Serendipity Point Films,2004-09-03,2004,9,Friday,0,0,104.0,Released,6.4,23,1.946634
2365,Nine 1/2 Weeks(1986),"Drama,Romance",en,United States of America,"Metro-Goldwyn-Mayer (MGM),Producers Sales Organization (PSO),Jonesfilm,Galactic Films,Triple Ajaxxx",1986-02-14,1986,2,Friday,17000000,6735922,117.0,Released,5.8,177,12.313143
2366,Dragonslayer(1981),Fantasy,en,United Kingdom,"Paramount Pictures,Walt Disney Productions",1981-06-26,1981,6,Friday,18000000,14110013,108.0,Released,6.5,67,3.258422
2367,The Last Station(2009),"Drama,Romance",en,"United Kingdom,Germany,Russia","Zephyr Films,Egoli Tossell Film",2009-09-04,2009,9,Friday,0,0,112.0,Released,6.7,55,3.659292
2368,Ed Wood(1994),"Comedy,Drama,History",en,United States of America,Touchstone Pictures,1994-09-27,1994,9,Tuesday,18000000,5887457,127.0,Released,7.3,630,24.548633
2369,Labor Day(2013),Drama,en,United States of America,"Mr. Mudd Production,Indian Paintbrush,Right of Way Films",2013-12-27,2013,12,Friday,18000000,20275812,111.0,Released,6.7,299,17.683563
2370,Монгол(2007),History,ru,"Russia,Germany,Kazakhstan","Kinokompaniya CTB,X-Filme Creative Pool,Andreevsky Flag Film Company,Kinofabrika,Eurasia Film Production",2007-09-20,2007,9,Thursday,18000000,26527510,120.0,Released,6.5,158,10.1449
2371,RockNRolla(2008),"Action,Crime,Thriller",en,United Kingdom,"StudioCanal,Dark Castle Entertainment,Toff Guy Films,Warner Bros.",2008-09-04,2008,9,Thursday,18000000,25739015,114.0,Released,6.9,836,31.887978
2372,Megaforce(1982),"Adventure,Action,Science Fiction",en,"Hong Kong,United States of America","Golden Harvest Company,Northshore Investments Ltd.",1982-06-25,1982,6,Friday,0,0,99.0,Released,3.5,15,1.110179
2373,Hamlet(1996),Drama,en,"United Kingdom,United States of America","Castle Rock Entertainment,Turner Pictures (I)",1996-12-25,1996,12,Wednesday,0,0,242.0,Released,7.3,117,9.814785
2374,Mao's Last Dancer(2009),"Drama,Romance",en,Australia,Great Scott Productions Pty. Ltd.,2009-10-01,2009,10,Thursday,25000000,20719451,117.0,Released,6.8,28,1.876811
2375,Midnight Special(2016),"Adventure,Drama,Science Fiction",en,United States of America,"Warner Bros.,Faliro House Productions,Tri-State Pictures",2016-02-18,2016,2,Thursday,18000000,6212282,112.0,Released,6.2,694,32.717853
2376,Anything Else(2003),"Comedy,Romance",en,"United Kingdom,Netherlands,France","DreamWorks SKG,Granada Film Productions,Perdido Prod.,Canal+",2003-08-27,2003,8,Wednesday,0,0,108.0,Released,6.2,149,8.945081
2377,The Railway Man(2013),"Drama,History",en,"Australia,United Kingdom","Archer Street Productions,Lionsgate,Pictures in Paradise,Silver Reel,Latitude Media,Thai Occidental Productions",2013-12-26,2013,12,Thursday,18000000,22309223,116.0,Released,6.7,273,13.916583
2378,Das weisse Band(2009),"Crime,Drama,Mystery",de,"Austria,France,Germany,Italy","Les Films du Losange,Wega Film,Lucky Red,X-Filme Creative Pool",2009-05-21,2009,5,Thursday,15238800,0,144.0,Released,7.2,255,17.94739
2379,Restoration(2016),Horror,en,,,2016-05-03,2016,5,Tuesday,0,0,90.0,Released,5.3,11,2.525569
2380,The Wraith(1986),"Romance,Science Fiction,Horror,Action,Crime",en,"United States of America,Canada","New Century Entertainment Corporation,Alliance Entertainment,Turbo Productions",1986-11-21,1986,11,Friday,2700000,3500000,93.0,Released,5.9,108,10.47644
2381,Salton Sea(2002),"Drama,Mystery,Thriller",en,United States of America,"Castle Rock Entertainment,Darkwoods Productions",2002-01-01,2002,1,Tuesday,18000000,676698,103.0,Released,7.0,104,10.991281
2382,Metallica: Through the Never(2013),Music,en,United States of America,"Exclusive Media Group,Picturehouse Entertainment",2013-09-25,2013,9,Wednesday,18000000,7972967,93.0,Released,6.7,83,7.871686
2383,The Informers(2008),Drama,en,"Germany,United States of America",Senator Entertainment Co,2008-11-05,2008,11,Wednesday,18000000,382174,98.0,Released,4.4,60,6.333869
2384,Carlos(2010),"Crime,Drama,Thriller,History",en,"France,Germany","Egoli Tossell Film AG,Canal+,Arte France,Films en Stock",2010-05-19,2010,5,Wednesday,18000000,871279,338.0,Released,6.7,50,1.138383
2385,I Come with the Rain(2009),"Thriller,Drama",en,"France,Hong Kong,Ireland,Spain,United Kingdom","Central-Europa Film,Canal+,TF1 International,Morena Films,Lumiere,LeBrocquy Fraser Productions,Better Wide",2009-05-14,2009,5,Thursday,18000000,0,114.0,Released,5.6,20,8.266124
2386,One Man's Hero(1999),"Western,Action,Drama,History",en,"United States of America,Mexico,Spain","Filmax,Silver Lion Films,Televisa S.A. de C.V.,Arco Films S.L,Hool/Macdonald Productions,Producciones San Patricia",1999-08-02,1999,8,Monday,0,0,121.0,Released,9.3,2,0.910529
2387,Day of the Dead(1985),"Horror,Science Fiction",en,"United States of America,Japan","Dead Films,Laurel Entertainment,Toei",1985-07-19,1985,7,Friday,3500000,34000000,96.0,Released,6.9,270,18.025206
2388,I Am Wrath(2016),"Action,Crime,Drama,Thriller",en,United States of America,"Patriot Pictures,Vallelonga Productions,Vengeance is Mine Productions,Hannibal Classics",2016-04-14,2016,4,Thursday,18000000,0,92.0,Released,4.5,179,10.144222
2389,Renaissance(2006),"Action,Animation,Science Fiction",fr,"France,United Kingdom,Luxembourg","Onyx Films,Backup Films,France2 Cinéma,Centre National de la Cinématographie (CNC)",2006-03-16,2006,3,Thursday,18000000,1831348,105.0,Released,6.7,77,9.244181
2390,Red Sonja(1985),"Adventure,Fantasy,Action",en,"Netherlands,United States of America","Famous Films (II),Metro-Goldwyn-Mayer (MGM),Dino De Laurentiis Company",1985-04-09,1985,4,Tuesday,17900000,6948633,89.0,Released,5.0,206,12.752463
2391,Red Lights(2012),Thriller,en,"Spain,United States of America","First Generation Films,Antena 3 Films,Televisió de Catalunya TV3,Canal+ España,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),Millennium Films,Nostromo Pictures,Generalitat de Catalunya - Institut Català de les Indústries Culturals (ICIC),Cindy Cowan Entertainment,La Sexta,Attitude Pinículas y Films A.I.E.",2012-03-02,2012,3,Friday,14000000,13551174,119.0,Released,6.0,376,22.748174
2392,Superbad(2007),Comedy,en,United States of America,"Columbia Pictures,Apatow Productions",2007-08-17,2007,8,Friday,20000000,121463226,113.0,Released,7.0,2100,33.436092
2393,Madea Goes to Jail(2009),"Comedy,Crime,Drama",en,United States of America,"Lions Gate Films,Tyler Perry Company, The",2009-02-16,2009,2,Monday,0,90508336,103.0,Released,6.4,52,3.107371
2394,Wolves(2014),"Horror,Action",en,"Canada,France","Copperheart Entertainment,Entertainment One,Dark Hero Studios",2014-08-28,2014,8,Thursday,18000000,0,90.0,Released,5.7,82,7.922639
2395,Step Up 2: The Streets(2008),"Music,Drama,Romance",en,United States of America,"Summit Entertainment,Offspring Entertainment,Touchstone Pictures",2008-02-14,2008,2,Thursday,23000000,150816700,98.0,Released,6.5,640,28.973074
2396,Hoodwinked!(2005),"Animation,Comedy,Family",en,United States of America,"The Weinstein Company,Kanbar Entertainment,Blue Yonder Films",2005-12-16,2005,12,Friday,15000000,51053787,80.0,Released,5.9,479,23.980329
2397,Hotel Rwanda(2004),"Drama,History,War",en,"Canada,United Kingdom,United States of America,Italy,South Africa","Lions Gate Films,United Artists,Industrial Development Corporation of South Africa,Endgame Entertainment,Miracle Pictures,Sixth Sense Productions,Mikado Film,Inside Track Films",2004-09-11,2004,9,Saturday,17500000,38000000,121.0,Released,7.5,793,28.60542
2398,Hitman(2007),"Action,Crime,Drama,Thriller",en,"France,United States of America","Twentieth Century Fox Film Corporation,Dune Entertainment,Anka Film,EuropaCorp,Daybreak Productions,Prime Universe Productions",2007-11-21,2007,11,Wednesday,24000000,99965753,89.0,Released,5.9,966,42.669304
2399,Black Nativity(2013),"Drama,Music",en,United States of America,"Fox Searchlight Pictures,Malvern Pictures",2013-11-27,2013,11,Wednesday,17500000,7018189,93.0,Released,5.8,16,7.180403
2400,The Prince(2014),"Thriller,Action",en,United States of America,"Grindstone Entertainment Group,Emmett/Furla Films,Oasis Films,Aperture Entertainment",2014-08-22,2014,8,Friday,18000000,266586800,93.0,Released,4.6,218,21.638673
2401,City of Ghosts(2002),Thriller,en,United States of America,,2002-01-01,2002,1,Tuesday,0,0,116.0,Released,5.4,18,2.64486
2402,The Others(2001),"Horror,Drama,Mystery,Thriller",en,"Spain,United States of America,France,Italy","Cruise/Wagner Productions,Canal Plus,Sogecine,Las Producciones del Escorpion,Lucky Red,Dimension Films,Miramax",2001-08-02,2001,8,Thursday,0,0,101.0,Released,7.4,1660,25.881355
2403,Aliens(1986),"Horror,Action,Thriller,Science Fiction",en,"United Kingdom,United States of America","Twentieth Century Fox Film Corporation,SLM Production Group,Brandywine Productions",1986-07-18,1986,7,Friday,18500000,183316455,137.0,Released,7.7,3220,67.66094
2404,My Fair Lady(1964),"Drama,Family,Music,Romance",en,United States of America,Warner Bros.,1964-10-21,1964,10,Wednesday,17000000,72070731,170.0,Released,7.4,352,20.786616
2405,I Know What You Did Last Summer(1997),"Horror,Thriller,Mystery",en,United States of America,"Columbia Pictures Corporation,Mandalay Entertainment,Summer Knowledge LLC",1997-10-17,1997,10,Friday,17000000,125586134,100.0,Released,5.6,687,27.654472
2406,Let's Be Cops(2014),Comedy,en,United States of America,"Twentieth Century Fox Film Corporation,WideAwake,Genre Films",2014-08-13,2014,8,Wednesday,17000000,136621271,104.0,Released,6.4,1219,70.668923
2407,Sideways(2004),"Comedy,Drama,Romance",en,United States of America,"Fox Searchlight Pictures,Michael London Productions,Sideways Productions Inc.",2004-10-22,2004,10,Friday,16000000,109502303,126.0,Released,6.9,478,23.425431
2408,Beerfest(2006),Comedy,en,United States of America,Broken Lizard Industries,2006-08-25,2006,8,Friday,17500000,19179969,110.0,Released,5.8,172,14.304444
2409,Halloween(1978),"Horror,Thriller",en,United States of America,"Compass International Pictures,Falcon International Productions",1978-10-25,1978,10,Wednesday,300000,70000000,91.0,Released,7.4,1035,30.301307
2410,Good Boy!(2003),"Comedy,Family,Science Fiction",en,United States of America,"Jim Henson Pictures,Metro-Goldwyn-Mayer (MGM)",2003-10-10,2003,10,Friday,17000000,0,87.0,Released,4.7,30,3.56033
2411,The Best Man Holiday(2013),Comedy,en,United States of America,Universal,2013-11-15,2013,11,Friday,17000000,71625195,123.0,Released,6.7,110,7.210095
2412,Smokin' Aces(2006),"Action,Comedy,Crime,Thriller",en,"France,United Kingdom,United States of America","Universal Pictures,StudioCanal,Relativity Media,Scion Films,Working Title Films",2006-12-09,2006,12,Saturday,17000000,57103895,109.0,Released,6.4,534,23.491962
2413,Saw 3D(2010),"Horror,Crime",en,"Canada,United States of America","Lionsgate,Twisted Pictures,Serendipity Productions",2010-10-21,2010,10,Thursday,20000000,136150434,90.0,Released,5.8,730,36.133536
2414,40 Days and 40 Nights(2002),"Comedy,Romance",en,"United States of America,France,United Kingdom","Miramax Films,Universal Pictures,Working Title Films",2002-03-01,2002,3,Friday,17000000,0,94.0,Released,5.2,297,14.18136
2415,A Night at the Roxbury(1998),Comedy,en,United States of America,"Paramount Pictures,SNL Studios",1998-10-01,1998,10,Thursday,17000000,30331165,81.0,Released,5.9,198,12.709227
2416,Beastly(2011),"Drama,Fantasy,Romance",en,United States of America,"CBS Films,Mel's Cite du Cinema,Storefront Films",2011-01-21,2011,1,Friday,17000000,43165571,86.0,Released,6.0,849,24.054062
2417,The Hills Have Eyes(2006),"Horror,Thriller",en,"France,United States of America","Fox Searchlight Pictures,Dune Entertainment,Major Studio Partners,Craven-Maddalena Films",2006-03-10,2006,3,Friday,15000000,69623713,107.0,Released,6.1,705,35.107857
2418,Dickie Roberts: Former Child Star(2003),Comedy,en,United States of America,"Paramount Pictures,Happy Madison Productions",2003-09-05,2003,9,Friday,0,0,98.0,Released,5.1,64,10.149569
2419,"McFarland, USA(2015)",Drama,en,United States of America,"Walt Disney Pictures,Mayhem Pictures",2015-02-20,2015,2,Friday,0,45710059,128.0,Released,7.4,213,14.023082
2420,Lottery Ticket(2010),Comedy,en,United States of America,"Cube Vision,Sweepstake Productions",2010-08-20,2010,8,Friday,0,0,99.0,Released,5.6,54,9.054803
2421,ATL(2006),Drama,en,United States of America,Warner Bros.,2006-03-31,2006,3,Friday,20000000,21170563,105.0,Released,6.0,32,5.422285
2422,Pitch Perfect(2012),"Comedy,Music,Romance",en,United States of America,Brownstone Productions,2012-09-28,2012,9,Friday,17000000,115350426,112.0,Released,7.3,2247,32.746486
2423,Summer Catch(2001),"Drama,Comedy,Romance",en,United States of America,"Tollin/Robbins Productions,Warner Bros.",2001-08-22,2001,8,Wednesday,34000000,19693891,108.0,Released,4.8,63,3.960098
2424,A Simple Plan(1998),"Drama,Crime,Thriller",en,United States of America,Paramount Pictures,1998-12-11,1998,12,Friday,0,0,121.0,Released,6.9,187,10.178917
2425,They(2002),"Horror,Thriller",en,United States of America,"Dimension Films,Focus Features,Good Machine,Radar Pictures",2002-11-01,2002,11,Friday,17000000,0,89.0,Released,4.6,74,4.544216
2426,Larry the Cable Guy: Health Inspector(2006),Comedy,en,United States of America,Parallel Pictures,2006-03-24,2006,3,Friday,0,0,89.0,Released,3.3,17,2.184708
2427,The Adventures of Elmo in Grouchland(1999),Family,en,United States of America,"Columbia Pictures,Children's Television Workshop,Jim Henson Pictures",1999-10-01,1999,10,Friday,0,0,73.0,Released,6.3,14,3.09159
2428,Brooklyn's Finest(2009),"Crime,Drama,Thriller",en,United States of America,"Nu Image Films,Langley Productions,Thunder Road Productions,Fuqua Films,Millennium Films",2009-01-16,2009,1,Friday,17000000,29536299,133.0,Released,6.2,293,18.790102
2429,55 Days at Peking(1963),"Action,Drama,History",en,United States of America,"Allied Artists Pictures,Samuel Bronston Productions",1963-05-06,1963,5,Monday,17000000,10000000,154.0,Released,6.3,36,3.321095
2430,Evil Dead(2013),Horror,en,United States of America,"TriStar Pictures,Ghost House Pictures,FilmDistrict",2013-04-05,2013,4,Friday,17000000,97542952,91.0,Released,6.4,1723,33.912116
2431,My Life in Ruins(2009),"Comedy,Romance",en,"Greece,United States of America","Fox Searchlight Pictures,26 Films",2009-02-06,2009,2,Friday,17000000,20455276,95.0,Released,5.6,101,5.787891
2432,American Dreamz(2006),"Comedy,Drama,Family",en,United States of America,"Universal Pictures,Depth of Field",2006-03-04,2006,3,Saturday,17000000,7314027,107.0,Released,4.9,95,7.864011
2433,Superman IV: The Quest for Peace(1987),"Action,Adventure,Science Fiction",en,"United Kingdom,United States of America","Cannon Films,Warner Bros.,London-Cannon Films,Golan-Globus Productions",1987-07-23,1987,7,Thursday,17000000,19300000,90.0,Released,4.1,318,17.062117
2434,How She Move(2008),Drama,en,"Canada,France,United States of America","MTV Films,Téléfilm Canada,Celluloid Dreams,Astral Media,Canadian Film or Video Production Tax Credit (CPTC),Corus Entertainment,Movie Central Network,Chum Television,Ontario Media Development Corporation (OMDC),Movie Network, The (TMN),Shaw Rocket Fund,Canadian Television Fund,Harold Greenberg Fund,Sienna Films,Ontario Film and Television Tax Credit (OFTTC),Canada Television and Cable Production Fund License Program (CTCPF)",2008-01-25,2008,1,Friday,0,0,94.0,Released,3.0,6,1.782666
2435,Running Scared(2006),"Action,Crime,Drama,Thriller",en,"Germany,United States of America","International Production Company,True Grit Productions,Zero Gravity Management,Pierce/Williams Entertainment",2006-01-06,2006,1,Friday,17000000,9500000,122.0,Released,7.0,331,19.311572
2436,Bobby Jones: Stroke of Genius(2004),Drama,en,United States of America,"Dean River Productions,Bobby Jones Films LLC,LIFE(n),McDongall Films",2004-04-30,2004,4,Friday,0,0,120.0,Released,5.5,19,2.897449
2437,Shanghai Surprise(1986),Adventure,en,United Kingdom,"HandMade Films,Vista Organisation, The",1986-08-29,1986,8,Friday,17000000,0,97.0,Released,2.9,15,0.138564
2438,The Illusionist(2006),"Fantasy,Drama,Thriller,Romance",en,"Czech Republic,United States of America","Michael London Productions,Stillking Films,Bob Yari Productions,Bull's Eye Entertainment,Contagious Entertainment,Revolution Sun Studios",2006-08-18,2006,8,Friday,40000000,86915017,110.0,Released,7.1,1615,36.960953
2439,Roar(1981),"Adventure,Thriller",en,United States of America,American Filmworks,1981-11-12,1981,11,Thursday,17000000,2000000,102.0,Released,5.6,19,1.15641
2440,Veronica Guerin(2003),"Drama,Crime,Thriller",en,"Ireland,United Kingdom,United States of America","Jerry Bruckheimer Films,Touchstone Pictures",2003-07-11,2003,7,Friday,17000000,1569918,98.0,Released,6.8,59,9.583578
2441,Escobar: Paradise Lost(2014),"Thriller,Romance",en,"Belgium,France,Spain","Nexus Factory,uFilm,Jaguar Films,Umedia,Chapter 2,Roxbury",2014-10-11,2014,10,Saturday,17000000,3758328,120.0,Released,6.1,271,25.112567
2442,Southland Tales(2006),"Action,Adventure,Comedy,Drama,Science Fiction,Thriller",en,"Germany,United States of America,France","Universal Pictures,Destination Films,Persistent Entertainment,Wild Bunch,Cherry Road Films LLC,MHF Zweite Academy Film,Darko Entertainment,Academy Films,Eden Roc Productions",2006-05-15,2006,5,Monday,17000000,374743,144.0,Released,5.2,153,9.349386
2443,Chasseurs de dragons(2008),"Animation,Family",fr,France,Futurikon,2008-03-19,2008,3,Wednesday,15000000,0,80.0,Released,6.5,129,8.884405
2444,Damnation Alley(1977),"Action,Adventure,Science Fiction",en,United States of America,Twentieth Century Fox Film Corporation,1977-09-10,1977,9,Saturday,17000000,8720000,91.0,Released,5.0,27,2.215261
2445,The Apparition(2012),"Horror,Thriller",en,United States of America,"StudioCanal,Dark Castle Entertainment,Warner Bros.,Studio Babelsberg Motion Pictures",2012-08-23,2012,8,Thursday,17000000,9627492,82.0,Released,4.5,140,6.385234
2446,My Girl(1991),"Comedy,Drama,Family",en,United States of America,"Columbia Pictures,Imagine Entertainment",1991-11-27,1991,11,Wednesday,16500000,0,102.0,Released,7.0,428,20.935169
2447,Fur: An Imaginary Portrait of Diane Arbus(2006),"Drama,Mystery,Romance",en,United States of America,"River Road Entertainment,Edward R. Pressman Film,Iron Film",2006-08-30,2006,8,Wednesday,16800000,2281089,122.0,Released,5.8,73,4.358255
2448,Wall Street(1987),"Crime,Drama",en,United States of America,Twentieth Century Fox Film Corporation,1987-12-10,1987,12,Thursday,15000000,43848069,126.0,Released,7.0,546,24.898687
2449,Sense and Sensibility(1995),"Drama,Romance",en,"United Kingdom,United States of America","Columbia Pictures Corporation,Mirage Enterprises",1995-12-13,1995,12,Wednesday,16500000,135000000,136.0,Released,7.2,352,20.898711
2450,Becoming Jane(2007),"Drama,Romance",en,"United Kingdom,United States of America","Ecosse Films,2 Entertain,Bueprint Pictures",2007-03-02,2007,3,Friday,16500000,37311672,120.0,Released,6.9,317,18.236284
2451,Sydney White(2007),Comedy,en,United States of America,"Morgan Creek Productions,Clifford Werber Productions,SW7D Productions",2007-09-21,2007,9,Friday,16500000,13620075,108.0,Released,6.0,236,10.74648
2452,House of Sand and Fog(2003),Drama,en,United States of America,"DreamWorks SKG,Cobalt Media Group,Bisgrove Entertainment",2003-12-19,2003,12,Friday,16500000,16942795,126.0,Released,7.0,199,12.102725
2453,Dead Poets Society(1989),Drama,en,United States of America,"Touchstone Pictures,Silver Screen Partners IV",1989-06-02,1989,6,Friday,16400000,235860116,129.0,Released,8.1,2705,55.458584
2454,Dumb and Dumber(1994),Comedy,en,United States of America,"New Line Cinema,Motion Picture Corporation of America (MPCA)",1994-12-16,1994,12,Friday,16000000,247275374,107.0,Released,6.5,1859,35.777067
2455,When Harry Met Sally...(1989),"Comedy,Romance,Drama",en,United States of America,"Castle Rock Entertainment,Nelson Entertainment",1989-07-21,1989,7,Friday,16000000,92823546,96.0,Released,7.3,950,18.430419
2456,The Verdict(1982),Drama,en,United States of America,Twentieth Century Fox Film Corporation,1982-12-08,1982,12,Wednesday,16000000,53977250,129.0,Released,7.4,131,7.980632
2457,Road Trip(2000),"Comedy,Adventure",en,United States of America,"DreamWorks SKG,The Montecito Picture Company",2000-05-19,2000,5,Friday,16000000,119754278,93.0,Released,5.9,542,14.759948
2458,Varsity Blues(1999),"Comedy,Drama,Romance",en,United States of America,"Paramount Pictures,MTV Films",1999-01-15,1999,1,Friday,0,0,106.0,Released,6.0,122,9.229999
2459,The Artist(2011),"Drama,Comedy,Romance",en,"Belgium,France","France 3 Cinéma,La Petite Reine,Studio 37,uFilm,Jouror Productions,La Classe Américaine,JD Prod",2011-05-15,2011,5,Sunday,15000000,133432856,100.0,Released,7.3,1049,29.943316
2460,The Unborn(2009),"Horror,Thriller,Mystery",en,United States of America,"Rogue Pictures,Phantom Four,Platinum Dunes,Relativity Media",2009-01-09,2009,1,Friday,16000000,76514050,87.0,Released,4.8,365,15.788784
2461,Moonrise Kingdom(2012),"Comedy,Drama,Romance",en,United States of America,"Scott Rudin Productions,Indian Paintbrush,Focus Features,American Empirical Pictures,Moonrise",2012-05-16,2012,5,Wednesday,16000000,68263166,94.0,Released,7.6,1662,41.083914
2462,The Texas Chainsaw Massacre: The Beginning(2006),Horror,en,United States of America,"New Line Cinema,Next Entertainment,Platinum Dunes,Vortex/Henkel/Hooper,Texas Chainsaw Productions",2006-10-06,2006,10,Friday,16000000,0,91.0,Released,5.9,402,21.380635
2463,The Young Messiah(2016),Drama,en,United States of America,Focus Features,2016-03-10,2016,3,Thursday,18500000,6490401,120.0,Released,6.4,30,1.884558
2464,The Master of Disguise(2002),"Comedy,Family",en,United States of America,"Columbia Pictures,Revolution Studios,Happy Madison Productions",2002-08-02,2002,8,Friday,0,0,80.0,Released,3.7,78,4.382761
2465,El laberinto del fauno(2006),"Fantasy,Drama,War",es,"Spain,United States of America,Mexico","Estudios Picasso,Esperanto Filmoj,Tequila Gang",2006-05-27,2006,5,Saturday,19000000,83258226,118.0,Released,7.6,3041,90.809408
2466,See Spot Run(2001),"Action,Comedy,Family",en,"Australia,United States of America","Village Roadshow Pictures,NPV Entertainment,Robert Simonds Productions,Warner Bros.,Spot Pictures",2001-03-02,2001,3,Friday,0,0,94.0,Released,4.8,44,6.579017
2467,Baby Boy(2001),"Crime,Drama,Romance",en,United States of America,"Columbia Pictures,New Deal Productions",2001-06-27,2001,6,Wednesday,16000000,29381649,130.0,Released,7.4,55,7.854989
